GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",7963,529,4617,509,1159,329,65,68,1046,238,91,127,327,240,658,316,64,73,594,261
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7973,377,5425,551,345,246,104,138,1306,430,0,17,254,258,539,209,20,33,519,213
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2822,201,2151,179,146,85,0,12,314,86,30,48,0,12,181,126,15,23,166,123
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",6721,454,4076,498,918,398,29,46,1208,356,0,17,0,17,490,297,0,17,490,297
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",5300,571,4305,443,179,163,15,26,408,170,45,44,78,78,270,169,0,17,270,169
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3052,165,2550,274,40,37,0,12,311,162,0,12,0,12,151,101,0,12,151,101
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",8061,565,5211,548,825,274,66,68,927,325,0,17,608,329,424,205,54,57,370,195
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4854,344,2889,326,637,212,16,26,849,284,112,164,181,114,170,99,55,79,115,81
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2582,177,2109,144,80,75,0,12,229,99,0,12,0,12,164,97,0,12,164,97
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1972,147,1602,136,22,23,30,36,216,56,33,40,11,12,58,34,0,12,58,34
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1982,141,1353,166,269,180,0,12,237,99,0,12,6,9,117,56,9,12,108,56
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2791,253,2108,184,8,13,0,12,428,165,0,12,99,95,148,79,0,12,148,79
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",7024,461,4433,602,433,292,44,71,1254,333,0,17,313,291,547,212,27,45,520,208
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",4468,263,2786,272,173,136,0,12,1039,185,0,12,180,99,290,129,0,12,290,129
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",5550,472,4231,425,40,46,39,42,536,235,0,17,110,107,594,375,0,17,594,375
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2548,184,2310,190,0,12,7,10,152,63,0,12,0,12,79,57,0,12,79,57
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",4603,252,3906,250,42,35,12,13,295,141,0,12,12,16,336,182,0,12,336,182
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",4004,245,2896,271,264,136,53,49,386,105,19,27,66,69,320,134,31,28,289,132
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",4832,329,3827,347,73,63,34,52,468,165,0,12,86,80,344,127,0,12,344,127
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",5380,451,3761,482,34,52,66,86,759,308,13,21,184,186,563,220,67,87,496,209
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",4777,272,3607,268,112,62,8,12,783,173,13,30,18,19,236,103,29,26,207,103
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3814,176,3208,206,4,7,3,6,340,104,0,12,62,47,197,97,0,12,197,97
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",4210,214,3347,222,15,23,6,11,621,127,0,12,111,62,110,89,0,12,110,89
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",5764,402,4640,374,5,12,16,25,707,146,13,21,36,58,347,137,0,17,347,137
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",3180,136,2635,145,11,17,0,12,278,68,8,12,47,52,201,98,0,12,201,98
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",3316,293,2802,188,39,36,9,14,208,92,0,12,24,37,234,152,0,12,234,152
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",5061,293,4222,266,58,42,0,17,394,99,0,17,101,133,286,114,11,17,275,113
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",6155,426,4687,388,88,70,1,2,686,236,0,17,134,151,559,268,78,101,481,266
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",4854,315,4254,347,5,7,0,12,233,131,0,12,21,34,341,199,0,12,341,199
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",4744,241,4205,289,0,12,1,6,274,144,12,13,82,56,170,113,27,31,143,88
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",5940,365,4939,359,18,27,0,17,277,144,22,35,285,222,399,191,0,17,399,191
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",6457,249,5970,268,28,73,56,72,198,140,0,17,0,17,205,135,0,17,205,135
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",8504,684,7552,621,54,66,33,52,323,186,0,17,191,128,351,175,0,17,351,175
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",6987,374,5908,364,143,110,0,17,416,141,0,17,93,80,427,190,21,34,406,192
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",3661,246,3157,252,50,54,17,26,232,94,0,12,23,37,182,74,21,23,161,72
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",4051,205,3501,269,39,32,1,3,308,174,11,17,8,12,183,116,0,12,183,116
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",6631,417,5104,398,110,83,0,17,952,355,0,17,145,115,320,148,18,30,302,146
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",2151,132,1734,160,37,28,1,4,231,90,0,12,3,6,145,60,0,12,145,60
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",3034,216,2461,207,22,34,47,54,297,72,0,12,28,26,179,82,0,12,179,82
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",3198,261,2262,290,385,215,0,12,297,118,0,12,26,27,228,97,0,12,228,97
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",7920,444,6568,423,8,12,0,17,974,300,16,29,1,3,353,154,0,17,353,154
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",8458,474,7027,454,153,148,1,4,826,174,89,132,55,63,307,143,57,46,250,120
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",3644,260,2687,228,54,45,0,12,561,221,0,12,154,127,188,96,0,12,188,96
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",3854,388,2211,307,112,77,8,14,1215,297,0,12,43,36,265,110,24,25,241,101
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",7314,829,5443,803,251,257,0,17,1082,263,0,17,189,201,349,166,37,44,312,162
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",3157,371,2540,352,34,38,16,19,371,181,0,12,0,12,196,84,43,53,153,66
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",3674,191,3336,201,58,57,6,11,179,73,0,12,0,12,95,68,15,25,80,63
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",8649,516,6901,511,158,169,0,17,836,415,0,17,67,80,687,315,96,132,591,269
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",5136,346,4351,306,38,59,27,33,329,129,0,17,74,96,317,208,0,17,317,208
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",7429,544,6611,627,19,29,25,33,289,136,0,17,59,70,426,193,0,17,426,193
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",4194,363,3556,386,62,77,14,24,308,123,29,44,0,12,225,140,0,12,225,140
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",3678,243,3165,234,29,35,5,8,222,64,0,12,137,128,120,72,0,12,120,72
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",7041,970,4075,900,67,62,0,17,2355,513,19,46,69,87,456,186,14,22,442,181
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",7792,788,3881,768,200,93,184,152,2564,370,30,28,136,78,797,191,89,78,708,180
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",4717,915,2256,415,100,74,16,21,1674,511,27,33,117,69,527,161,47,33,480,161
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",5683,386,4603,417,76,85,0,17,492,176,0,17,15,25,497,192,0,17,497,192
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",6875,349,5976,311,17,25,37,41,332,109,70,115,73,87,370,186,0,17,370,186
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",6816,366,5674,453,103,90,43,48,655,155,0,17,52,49,289,168,61,103,228,125
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",5344,356,4502,340,348,141,20,31,222,91,0,17,0,17,252,133,0,17,252,133
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",5680,432,4216,518,346,327,0,17,784,300,22,36,0,17,312,133,0,17,312,133
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",7975,525,6412,552,185,151,18,20,675,173,0,17,127,98,558,148,64,68,494,146
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",5785,484,4736,445,32,38,172,235,336,125,1,13,50,47,458,176,20,28,438,174
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",5316,271,4385,392,39,43,12,19,570,257,48,80,15,25,247,126,0,17,247,126
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",4416,226,3812,218,54,39,0,12,288,92,0,12,71,69,191,87,6,12,185,85
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",5510,349,4881,434,97,102,0,17,205,140,0,17,19,29,308,168,0,17,308,168
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",3575,200,3125,261,38,27,8,15,178,84,17,26,23,24,186,113,10,16,176,113
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",4807,408,4102,390,19,27,9,15,289,103,14,22,63,81,311,153,0,12,311,153
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",4092,327,3125,325,79,78,3,6,506,230,0,12,8,10,371,206,0,12,371,206
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",8688,665,6085,615,76,94,19,34,1957,660,0,17,0,17,551,304,40,63,511,291
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",3308,226,2841,223,0,12,0,12,265,136,0,12,54,38,148,89,8,12,140,88
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",4964,312,4433,304,39,44,6,12,266,121,0,12,0,12,220,100,0,12,220,100
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",7329,490,6048,415,81,82,55,79,706,235,60,65,0,17,379,200,110,143,269,152
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",4521,376,3190,380,148,86,4,6,686,229,8,18,258,248,227,109,20,27,207,107
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",8862,734,5541,544,482,235,109,113,1817,530,0,17,68,103,845,566,63,74,782,555
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",6613,506,4215,526,611,240,8,13,1099,285,62,76,190,131,428,159,15,25,413,152
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",5192,359,3969,286,95,65,0,17,742,217,0,17,17,28,369,177,0,17,369,177
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",5362,367,3792,409,361,154,0,17,592,146,19,28,83,101,515,174,33,45,482,164
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",8753,637,6595,590,359,215,76,88,636,244,0,17,241,160,846,389,0,17,846,389
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",4257,379,3497,349,172,189,1,2,387,208,0,12,14,22,186,98,0,12,186,98
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",5308,467,3836,422,602,292,44,48,390,136,0,17,49,48,387,216,0,17,387,216
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",5875,390,4406,410,281,183,22,37,271,130,0,17,168,214,727,326,25,39,702,327
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",6339,584,4800,582,724,242,64,59,445,175,8,15,63,54,235,120,26,36,209,112
